State,policyalternatives.ca,greenparty.ca,liberal.ca,westernblockparty.com,ndp.ca,egale.ca,fairvotecanada.org,canadians.org,davidsuzuki.org,conservative.ca
510,0,183753,4925,338441,18,0,0,0,0,74333
511,0,97537,2970,114463,0,0,0,0,0,29995
602,0,912,759,11951,89052,0,0,0,0,1195
603,86524,391,813,12430,97302,12688,14588,40706,2759,1530
604,86299,900,81,12688,95715,12714,14874,42685,3036,1590
605,73300,821,687,13044,2801,12772,0,31082,3027,1879
606,89758,887,751,13350,2894,12900,0,42099,3050,2205
607,87973,820,747,13635,2850,12971,0,43125,3083,2256
608,72789,807,4262,12816,2750,12971,0,39165,3077,2217
609,43557,878,3905,27,2892,13022,0,35843,3130,2828
610,41990,41375,3894,27,3086,13037,0,31062,3163,3552
611,94094,35740,3964,27,3274,13051,0,1191,3168,3841
612,95555,47537,4085,27,3514,13053,27300,1191,3217,3718
701,96302,50462,4829,27,3563,13045,26936,1210,3221,3585
702,123,120652,5524,26,3510,13049,27003,1266,5613,3922
703,121,107020,5597,26,3743,13090,31370,1331,10238,3345
704,120,118218,3907,27,3831,13096,32540,1368,10374,3235
705,112,108317,4176,27,4595,13382,33421,1394,10616,2766
706,112,112587,4404,27,4750,12213,46821,1422,11412,2447
707,0,85,204,27,46,77,123,74,172,19
708,111,99227,4861,27,4898,12242,21698,1512,11197,2
709,89350,49370,4948,37140,5006,12243,22055,1602,11296,2281
710,226364,92197,5072,27,5067,12237,899,1741,11464,2080
711,219953,90186,222776,27,5119,12234,859,1726,11498,1977
712,231224,86685,5458,27,6237,12397,10559,1777,11764,2349
801,231014,90470,5490,27,6283,12402,19958,1784,11856,2318
802,233282,0,5588,27,6083,12432,20590,1861,12011,2322
803,235679,0,244031,27,5690,12485,0,1927,12275,2315
804,181359,116504,255756,27,6296,12510,0,1970,12415,2693
805,44361,90339,232832,27,5535,12512,0,2030,12484,2744
806,175316,97121,172854,27,7008,12533,0,2065,18765,3416
807,153155,64366,169471,27,7062,12530,440,2088,19028,4191
809,2974,2874,600,0,2490,350,11,2195,1836,584
810,175338,101308,77653,0,3264,12189,0,76,17723,2668
811,176960,121593,7178,0,1292,12543,11,2316,19579,4589
902,82447,22449,7336,0,2514,13155,11,2421,20185,2251
